"DATE_TIME","TEMPERATURE","DEPTH","BATHYTHERMIC_HEADER_ID"
2021-07-08 15:42:07,8.883,0,28402
2021-07-08 15:42:10,9.119,0,28402
2021-07-08 15:42:15,9.367,0,28402
2021-07-08 15:42:18,9.542,0,28402
2021-07-08 15:42:21,9.74,0,28402
2021-07-08 15:42:24,9.833,0,28402
2021-07-08 15:42:29,10.034,0,28402
2021-07-08 15:42:32,10.069,0,28402
2021-07-08 15:42:35,10.046,0,28402
2021-07-08 15:42:40,10.006,0,28402
2021-07-08 15:42:43,9.976,0,28402
2021-07-08 15:42:46,9.937,0,28402
2021-07-08 15:42:49,9.906,0,28402
2021-07-08 15:42:54,9.876,0,28402
2021-07-08 15:42:57,9.847,0,28402
2021-07-08 15:43:00,9.827,0,28402
2021-07-08 15:43:05,9.808,0,28402
2021-07-08 15:43:08,9.803,0,28402
2021-07-08 15:43:11,9.808,0,28402
2021-07-08 15:43:14,9.808,0,28402
2021-07-08 15:43:19,9.784,0,28402
2021-07-08 15:43:22,9.786,0,28402
2021-07-08 15:43:25,9.785,0,28402
2021-07-08 15:43:28,9.783,0,28402
2021-07-08 15:43:33,9.779,0,28402
2021-07-08 15:43:36,9.789,0,28402
2021-07-08 15:43:39,9.795,0,28402
2021-07-08 15:43:44,9.802,0,28402
2021-07-08 15:43:47,9.807,0,28402
2021-07-08 15:43:50,9.822,0,28402
2021-07-08 15:43:53,9.84,0,28402
2021-07-08 15:43:58,10.307,0,28402
2021-07-08 15:44:01,10.394,0,28402
2021-07-08 15:44:04,10.523,0,28402
2021-07-08 15:44:09,10.724,0,28402
2021-07-08 15:44:12,10.81,0,28402
2021-07-08 15:44:15,10.858,0,28402
2021-07-08 15:44:18,10.953,0,28402
2021-07-08 15:44:23,11.068,0,28402
2021-07-08 15:44:26,11.103,0,28402
2021-07-08 15:44:29,11.127,0,28402
2021-07-08 15:44:34,11.174,0,28402
2021-07-08 15:44:37,11.235,0,28402
2021-07-08 15:44:40,11.286,0,28402
2021-07-08 15:44:43,11.368,0,28402
2021-07-08 15:44:48,11.445,0,28402
2021-07-08 15:44:51,11.477,0,28402
2021-07-08 15:44:54,11.511,0,28402
2021-07-08 15:44:59,11.549,0,28402
2021-07-08 15:45:02,11.56,0,28402
2021-07-08 15:45:05,11.569,0,28402
2021-07-08 15:45:08,11.581,0,28402
2021-07-08 14:44:11,17.469,0,28402
2021-07-08 14:44:14,17.464,0,28402
2021-07-08 14:44:17,17.44,0,28402
2021-07-08 14:44:20,17.439,0,28402
2021-07-08 14:44:25,17.426,0,28402
2021-07-08 14:44:28,17.418,0,28402
2021-07-08 14:44:31,17.405,0,28402
2021-07-08 14:44:34,17.419,0,28402
2021-07-08 14:44:39,17.443,0,28402
2021-07-08 14:44:42,17.445,0,28402
2021-07-08 14:44:45,17.461,0,28402
2021-07-08 14:44:50,17.464,0,28402
2021-07-08 14:44:53,17.465,0,28402
2021-07-08 14:44:56,17.46,0,28402
2021-07-08 14:44:59,17.465,0,28402
2021-07-08 14:45:04,17.482,0,28402
2021-07-08 14:45:07,17.515,0,28402
2021-07-08 14:45:10,17.6,0,28402
2021-07-08 14:45:15,17.687,0,28402
2021-07-08 14:45:18,17.757,0,28402
2021-07-08 14:45:21,17.807,0,28402
2021-07-08 14:45:24,17.866,0,28402
2021-07-08 14:45:29,17.864,-0.1,28402
2021-07-08 14:45:32,17.734,0,28402
2021-07-08 14:45:35,17.473,0,28402
2021-07-08 14:45:40,17.186,0,28402
2021-07-08 14:45:43,17.01,0,28402
2021-07-08 14:45:46,16.845,0,28402
2021-07-08 14:45:49,16.482,0,28402
2021-07-08 14:45:54,16.211,0,28402
2021-07-08 14:45:57,16.057,0,28402
2021-07-08 14:46:00,15.868,0,28402
2021-07-08 14:46:05,15.644,-0.1,28402
2021-07-08 14:46:08,15.483,0,28402
2021-07-08 14:46:11,15.421,0,28402
2021-07-08 14:46:14,15.355,-0.1,28402
2021-07-08 14:46:19,15.234,0,28402
2021-07-08 14:46:22,15.187,0,28402
2021-07-08 14:46:25,15.011,-0.1,28402
2021-07-08 14:46:28,14.897,-0.1,28402
2021-07-08 14:46:33,14.827,-0.1,28402
2021-07-08 14:46:36,14.667,0,28402
2021-07-08 14:46:39,14.387,0,28402
2021-07-08 14:46:44,13.938,0,28402
2021-07-08 14:46:47,13.764,0,28402
2021-07-08 14:46:50,13.619,0,28402
2021-07-08 14:46:53,13.408,0,28402
2021-07-08 14:46:58,13.495,0,28402
2021-07-08 14:47:01,13.674,0,28402
2021-07-08 14:47:04,13.627,0,28402
2021-07-08 14:47:09,13.606,0,28402
2021-07-08 14:47:12,13.727,0,28402
2021-07-08 14:47:15,13.578,0,28402
2021-07-08 14:47:18,13.609,0,28402
